,BANKRUPTCY,CENTRALBANK,DEBT,DEFLATION,DEREGULATION,EARNINGSREPORT,GOLDPRICE,HOUSING_PRICES,INFLATION,INTEREST_RATES,IPO,MIDDLECLASS,OILPRICE,STOCKMARKET,TRADE_DISPUTE
2018-01-31,-1.77814186891722,-0.880684047590079,-1.09448933294674,-1.57523976965741,-0.476480358257853,0.990501755625423,-0.0167433856814,0.221076696541343,-0.91182200959836,-0.396596061371592,0.432805709670497,-1.62685790459,-1.30274155182199,-0.05211840062963,-1.58371184697864
2018-02-01,-2.24438266660978,-0.693159511155225,-1.11792556335711,-0.529080973886546,-0.787520466580919,0.767349165318413,1.05351147321883,0.245605285156841,-0.672657861848468,-0.436105110062067,0.452562154342384,-0.617234412739006,-0.59033673571606,0.061132783584789,-1.89550866119853
2018-02-02,-2.11302156458455,-0.802464701152048,-1.20178510974186,-2.29311823760699,-0.764181313683284,0.524094127910876,0.256422705492249,0.177496349924944,-0.877789969546601,-0.743481008579888,0.318542296968549,-0.845514167500007,-0.862024338408753,-0.248190097912371,-1.40493579342235
2018-02-03,-2.21514132977025,-1.01799316442314,-1.53445760849019,-1.27446452111582,-1.00636981405702,1.04029082660915,0.799222500510258,0.186459502085155,-0.98426852607196,-0.84706139361124,-0.602162465167613,-0.587913859704418,-1.19462921946089,-0.255167890059312,-1.7091818086487
2018-02-04,-1.19501732879628,-1.0717620323091,-1.15277078633265,-1.42973100823362,-0.513560160295094,1.06300041622355,0.208746658181285,-0.216147840509324,-1.29651452601008,-0.657806415149185,0.079096617335684,-0.841383406423487,-1.20333964089426,-0.138683640923316,-2.2311986123777
2018-02-05,-1.57487512029776,-1.82432158864371,-1.2618991106743,-1.83966107438276,-1.49358800908431,0.286822410393371,-0.111788881735598,0.208294339312737,-1.8674344950592,-1.64322534063614,0.291373729913717,-1.30506423305686,-1.74886148716288,-0.581479654813954,-1.94256000461542
2018-02-06,-2.59118702360876,-1.87954876455552,-1.45241997254801,-1.26217027902213,-1.71554971877824,0.840987366342796,0.464699853358459,-0.253607019593746,-2.06906402359374,-1.92780539825305,-0.06651297697562,-0.722557679564912,-1.88380278869253,-1.01085314939403,-1.75417939990677
2018-02-07,-2.026281632624,-1.24031447744188,-1.00501344060257,-1.81791447655123,-1.31965276264326,0.677584675742818,-0.714159781064476,-0.168590104430679,-1.44787640051849,-1.21453841832834,-0.641525850366391,-0.946429004830225,-1.48279347190858,-0.484152835859622,-2.03839514064008
2018-02-08,-1.40601099273543,-1.18286296053711,-0.913639835908519,-1.63134077824893,-1.42037549576577,-0.657815972939047,0.145593267611931,0.354383307396273,-1.47238663021942,-1.11180293229193,-0.188288692750897,-0.768981838057716,-1.63136156265169,-0.356691358117644,-1.90789309058639
2018-02-09,-1.89240265007486,-1.48668361329726,-1.66548832587557,-1.34426582859633,-1.31882589531854,0.454492224003677,-0.38665460855631,0.310742061809159,-2.12065540262186,-1.89796614664794,0.377487950583357,-0.560964365190662,-1.94688542920169,-0.680462931162708,-2.0186046294788
